dataset,model,demographic,correlation,p_value,sample_size,ci_lower,ci_upper,p_corrected,significant
awa,gpt,black,0.720433355918568,6.122818437757586e-101,624,0.6804194861565792,0.7561641669549006,2.449127375103034e-100,True
awa,gpt,man,0.7589934768469321,1.6065076913960887e-116,616,0.7233682252689195,0.7905883191906253,1.4458569222564799e-115,True
awa,gpt,white,0.8049562086825535,2.3115269856550957e-143,625,0.7754862614792339,0.830926256516251,3.0049850813516242e-142,True
awa,gpt,woman,0.7743578435776228,3.5658639658614475e-119,591,0.7399162100064326,0.8047503574888992,3.5658639658614475e-118,True
awa,gpt,overall,0.8262232243046989,2.0823570499056248e-157,625,0.7996098460315157,0.8495975310167116,3.1235355748584375e-156,True
awa,gemini,black,0.7608356124451447,1.141866810730654e-103,543,0.722976387055775,0.7941390241658878,5.709334053653271e-103,True
awa,gemini,man,0.7784238649590356,4.57383114217217e-110,536,0.7426949340250146,0.8097332072967663,3.201681799520519e-109,True
awa,gemini,white,0.8177758016233696,3.8139635660061444e-132,544,0.7878736672324983,0.8438310038955666,4.576756279207373e-131,True
awa,gemini,woman,0.7982976808637829,4.7246132904421355e-115,515,0.7646356633324877,0.8276156346878234,3.7796906323537084e-114,True
awa,gemini,overall,0.8448931948669354,2.222198663236794e-149,544,0.8189978116888439,0.8673539725704986,3.1110781285315115e-148,True
awa,solar,black,0.6907019606351715,2.103845884070455e-84,587,0.6458774742428941,0.7307806877712951,4.20769176814091e-84,True
awa,solar,man,0.6894576591300661,7.307842847239291e-83,579,0.6441625023340253,0.7299341771165463,7.307842847239291e-83,True
awa,solar,white,0.7552400024747512,1.3511770642986815e-109,588,0.7182432754148214,0.7879782308971318,8.107062385792089e-109,True
awa,solar,woman,0.7283957553588272,3.387835383129597e-93,557,0.6868830897628398,0.7651708852657643,1.0163506149388791e-92,True
awa,solar,overall,0.7881179123091155,1.3135656175423724e-125,588,0.7553983014570436,0.8169172094992455,1.4449221792966096e-124,True
mhsc,gpt,asian,0.3878030759591773,1.1851234227382672e-182,5099,0.36423137075707274,0.4108782368675526,7.110740536429603e-182,True
mhsc,gpt,black,0.41746001762840246,1.821891469950529e-305,7291,0.39832248695455363,0.43623425570571334,1.639702322955476e-304,True
mhsc,gpt,hispanic,0.43084595899963923,6.864356522291823e-158,3493,0.4034460498448611,0.45747387125735306,2.059306956687547e-157,True
mhsc,gpt,man,0.4420351769912905,0.0,26867,0.43236295300797634,0.451605690486579,0.0,True
mhsc,gpt,white,0.47225314494150195,0.0,36691,0.46426432287270925,0.4801651309710051,0.0,True
mhsc,gpt,woman,0.4609825860273852,0.0,31497,0.45224118614428666,0.469635432222676,0.0,True
mhsc,gpt,overall,0.47216725805108073,0.0,39260,0.4644446852114453,0.47981802839137305,0.0,True
mhsc,gemini,asian,0.3849924941061059,7.558574838911141e-170,4813,0.3606627506951989,0.4087986595075942,3.0234299355644563e-169,True
mhsc,gemini,black,0.41497780849312277,7.144284266726396e-288,6959,0.39533671915284807,0.434239587335437,5.715427413381117e-287,True
mhsc,gemini,hispanic,0.4102820096915942,3.672832842594658e-135,3324,0.38160743347412784,0.43816765347542974,3.672832842594658e-135,True
mhsc,gemini,man,0.42716340258042873,0.0,25465,0.417069270153033,0.4371521690225167,0.0,True
mhsc,gemini,white,0.46126697283287654,0.0,34754,0.45295004643402925,0.46950362195894524,0.0,True
mhsc,gemini,woman,0.4520476800594463,0.0,29811,0.44296903580604785,0.46103362524715946,0.0,True
mhsc,gemini,overall,0.4657815870523939,0.0,37228,0.4577894365930997,0.47369846407452093,0.0,True
