demo_1,demo_2,model,dataset,ci_lower,ci_upper,sample_size,z,p_value,corrected_p_value,significant
average_black,average_white,gpt,awa,-0.12714227882570558,-0.043495170163113994,624,-4.898915582627763,9.636703337534414e-07,9.636703337534414e-07,True
average_black,average_white,gemini,awa,-0.09902803620795904,-0.01790553634139015,543,-3.4379017046143856,0.0005862404634766616,0.0005862404634766616,True
average_black,average_white,solar,awa,-0.10360845705346322,-0.023369323590394314,587,-3.183996288762346,0.0014525687470055004,0.0014525687470055004,True
average_asian,average_black,gpt,mhsc,-0.1850655957145074,-0.0005796967118904399,620,-2.5402496258490257,0.011077337463257342,0.033232012389772025,True
average_asian,average_hispanic,gpt,mhsc,-0.16512005158237528,0.039801753252747284,290,-1.142513571891956,0.2532406079334002,0.5064812158668004,False
average_asian,average_white,gpt,mhsc,-0.10630350791944852,-0.04838464648028745,4104,-5.706310373085993,1.1545139511071056e-08,6.927083706642634e-08,True
average_black,average_hispanic,gpt,mhsc,-0.11237137935172464,0.04898655829982389,522,-0.808516091571747,0.41879354644511735,0.5064812158668004,False
average_black,average_white,gpt,mhsc,-0.08480739749344865,-0.03860868602617844,5990,-5.505894013565227,3.6729946639724176e-08,1.8364973319862088e-07,True
average_hispanic,average_white,gpt,mhsc,-0.08144932464918532,-0.008166809468656526,2848,-2.7015389541780634,0.0069019394821367985,0.027607757928547194,True
average_asian,average_black,gemini,mhsc,-0.1897574872336537,-0.005133140320790909,582,-2.3714864729363403,0.01771669519224095,0.0708667807689638,False
average_asian,average_hispanic,gemini,mhsc,-0.19610697776435876,0.033760410768566965,269,-1.4664584935796126,0.14252342089869563,0.28504684179739126,False
average_asian,average_white,gemini,mhsc,-0.0865560559725427,-0.027082273255290903,3864,-3.7367775235296583,0.0001863937045563091,0.0009319685227815455,True
average_black,average_hispanic,gemini,mhsc,-0.1197296606487263,0.05705107913124005,492,-0.7573473968530567,0.44884176210296967,0.44884176210296967,False
average_black,average_white,gemini,mhsc,-0.07581181406628609,-0.02824333332280112,5705,-4.447485048096929,8.688150445079756e-06,5.212890267047854e-05,True
average_hispanic,average_white,gemini,mhsc,-0.0769890610273249,-0.004730610197732124,2705,-2.3526331040516966,0.018641016865330373,0.0708667807689638,False
average_asian,average_black,solar,mhsc,-0.1446128202254246,-0.008116964421325711,620,-1.8902024500896726,0.058730889143826515,0.1934534653384654,False
