post_id,majority_asian,majority_black,majority_hispanic,majority_man,majority_white,majority_woman,majority_overall,average_asian,average_black,average_hispanic,average_man,average_white,average_woman,average_overall,gpt_cot,gemini_cot,solar_cot
mhsc_6870,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_33752,,3.0,,3.0,,3.0,3,,3.0,,3.0,,3.0,3,3.0,3.0,3.0
mhsc_3439,1.0,,,1.0,-1.0,2.0,1,1.0,,,1.0,2.0,2.0,1,1.0,1.0,1.0
mhsc_11796,,,,3.0,3.0,3.0,3,,,,3.0,3.0,3.0,3,3.0,3.0,3.0
mhsc_29050,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_22958,,3.0,,3.0,3.0,3.0,3,,3.0,,3.0,3.0,3.0,3,3.0,3.0,3.0
mhsc_14353,,3.0,,3.0,3.0,3.0,3,,3.0,,3.0,3.0,3.0,3,3.0,,3.0
mhsc_5852,,,,1.0,1.0,,1,,,,1.0,1.0,,1,3.0,3.0,3.0
mhsc_13340,,,,,3.0,3.0,3,,,,,3.0,3.0,3,3.0,,3.0
mhsc_35307,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,2.0
mhsc_34032,,,2.0,,,2.0,2,,,2.0,,,2.0,2,1.0,,2.0
mhsc_18699,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,3.0,1.0,2.0
mhsc_2002,,2.0,,,1.0,-1.0,-1,,2.0,,,1.0,2.0,2,3.0,3.0,3.0
mhsc_10783,,,1.0,1.0,1.0,,1,,,1.0,1.0,1.0,,1,1.0,1.0,2.0
mhsc_30825,,,,1.0,-1.0,3.0,-1,,,,1.0,2.0,3.0,2,3.0,,3.0
mhsc_16299,,,,3.0,3.0,3.0,3,,,,3.0,3.0,3.0,3,3.0,,3.0
mhsc_1207,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,3.0,3.0,3.0
mhsc_39207,,,,,1.0,1.0,1,,,,,1.0,1.0,1,3.0,3.0,3.0
mhsc_33701,,,,1.0,-1.0,3.0,-1,,,,1.0,2.0,3.0,2,3.0,3.0,2.0
mhsc_27818,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_9205,,,,3.0,3.0,3.0,3,,,,3.0,3.0,3.0,3,3.0,3.0,3.0
mhsc_14739,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_30327,1.0,,,1.0,1.0,1.0,1,1.0,,,1.0,1.0,1.0,1,3.0,1.0,2.0
mhsc_8887,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_1391,3.0,,,3.0,3.0,3.0,3,3.0,,,3.0,3.0,3.0,3,1.0,3.0,3.0
mhsc_11519,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,3.0,3.0
mhsc_3869,3.0,,,3.0,1.0,1.0,1,3.0,,,3.0,1.0,1.0,2,1.0,1.0,2.0
mhsc_30317,,,,2.0,-1.0,3.0,-1,,,,2.0,2.0,3.0,2,3.0,3.0,3.0
mhsc_8335,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,3.0,3.0
mhsc_6772,,,,,1.0,1.0,1,,,,,1.0,1.0,1,3.0,,3.0
mhsc_9078,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,2.0
mhsc_11211,,,2.0,1.0,1.0,2.0,1,,,2.0,1.0,1.0,2.0,1,3.0,1.0,2.0
mhsc_20445,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,3.0,3.0
mhsc_10682,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,1.0
mhsc_24707,,,3.0,3.0,3.0,,3,,,3.0,3.0,3.0,,3,3.0,3.0,3.0
mhsc_4827,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_34829,,,,1.0,1.0,,1,,,,1.0,1.0,,1,2.0,3.0,2.0
mhsc_26280,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,2.0
mhsc_25207,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_26863,,1.0,,,1.0,1.0,1,,1.0,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_35132,1.0,,,,,1.0,1,1.0,,,,,1.0,1,1.0,1.0,1.0
mhsc_30643,,1.0,,,,1.0,1,,1.0,,,,1.0,1,1.0,1.0,1.0
mhsc_8798,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_22635,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_39231,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,1.0
mhsc_9249,,,,1.0,1.0,-1.0,1,,,,1.0,1.0,2.0,1,1.0,1.0,1.0
mhsc_23727,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_26477,1.0,,,1.0,1.0,,1,1.0,,,1.0,1.0,,1,2.0,1.0,2.0
mhsc_29222,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_32914,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_23868,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_2368,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,3.0,3.0,3.0
mhsc_16726,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,1.0
mhsc_25458,,1.0,,,,1.0,1,,1.0,,,,1.0,1,1.0,1.0,1.0
mhsc_7659,,1.0,,,,1.0,1,,1.0,,,,1.0,1,1.0,1.0,3.0
mhsc_12212,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_25799,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,1.0
mhsc_2920,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_16523,,,,1.0,1.0,,1,,,,2.0,2.0,,2,3.0,3.0,3.0
mhsc_18630,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_17328,,,-1.0,1.0,-1.0,3.0,-1,,,2.0,1.0,2.0,2.0,2,3.0,3.0,3.0
mhsc_13280,,,,,-1.0,-1.0,-1,,,,,2.0,2.0,2,1.0,3.0,3.0
mhsc_5477,,,,3.0,3.0,3.0,3,,,,3.0,3.0,3.0,3,3.0,3.0,3.0
mhsc_22137,,2.0,,3.0,3.0,-1.0,3,,2.0,,3.0,2.0,2.0,2,3.0,3.0,3.0
mhsc_13346,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,3.0,3.0,3.0
mhsc_26663,3.0,,,3.0,-1.0,-1.0,3,3.0,,,3.0,2.0,2.0,2,1.0,1.0,2.0
mhsc_11199,,,,3.0,3.0,3.0,3,,,,3.0,3.0,3.0,3,3.0,3.0,3.0
mhsc_12285,,,,-1.0,-1.0,,-1,,,,2.0,2.0,,2,3.0,3.0,3.0
mhsc_22624,2.0,,,,1.0,-1.0,-1,2.0,,,,1.0,2.0,2,3.0,3.0,3.0
mhsc_18658,,,1.0,1.0,,,1,,,1.0,1.0,,,1,1.0,1.0,2.0
mhsc_32157,,,1.0,1.0,,,1,,,1.0,1.0,,,1,3.0,1.0,3.0
mhsc_15170,,,,-1.0,3.0,3.0,3,,,,2.0,2.0,3.0,2,1.0,3.0,3.0
mhsc_20840,1.0,,,1.0,1.0,1.0,1,1.0,,,1.0,2.0,2.0,2,1.0,1.0,3.0
mhsc_1172,,3.0,,-1.0,1.0,-1.0,-1,,3.0,,2.0,1.0,2.0,2,3.0,3.0,3.0
mhsc_26904,1.0,,2.0,1.0,,2.0,-1,1.0,,2.0,1.0,,2.0,2,1.0,1.0,3.0
mhsc_4265,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,3.0
mhsc_20789,,,1.0,,,1.0,1,,,1.0,,,1.0,1,1.0,1.0,1.0
mhsc_4096,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,2.0
mhsc_15742,3.0,,,1.0,3.0,3.0,3,3.0,,,1.0,2.0,3.0,2,3.0,3.0,3.0
mhsc_28636,,1.0,,,,1.0,1,,1.0,,,,1.0,1,1.0,1.0,2.0
mhsc_11551,,1.0,,1.0,1.0,1.0,1,,1.0,,1.0,1.0,1.0,1,3.0,3.0,2.0
mhsc_31664,,1.0,,-1.0,-1.0,1.0,1,,1.0,,2.0,2.0,1.0,2,3.0,3.0,3.0
mhsc_31980,,,,,-1.0,-1.0,-1,,,,,2.0,2.0,2,1.0,1.0,1.0
mhsc_3987,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,3.0,3.0,3.0
mhsc_37408,,,,,3.0,3.0,3,,,,,3.0,3.0,3,3.0,3.0,3.0
mhsc_2779,,,1.0,1.0,1.0,1.0,1,,,1.0,1.0,1.0,1.0,1,2.0,3.0,2.0
mhsc_4062,,,,-1.0,1.0,1.0,1,,,,2.0,2.0,1.0,2,3.0,3.0,3.0
mhsc_3145,,,,1.0,1.0,,1,,,,1.0,1.0,,1,1.0,1.0,1.0
mhsc_1392,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_14950,1.0,1.0,,1.0,,1.0,1,1.0,1.0,,1.0,,1.0,1,1.0,1.0,1.0
mhsc_2001,,,,,1.0,1.0,1,,,,,1.0,1.0,1,3.0,,2.0
mhsc_11123,,1.0,,,1.0,1.0,1,,1.0,,,1.0,1.0,1,3.0,3.0,2.0
mhsc_34080,,,,3.0,3.0,,3,,,,3.0,3.0,,3,3.0,3.0,3.0
mhsc_27582,,,,,1.0,1.0,1,,,,,1.0,1.0,1,1.0,1.0,1.0
mhsc_11540,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_38870,,,1.0,,,1.0,1,,,1.0,,,1.0,1,1.0,1.0,3.0
mhsc_9110,,,,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,1,1.0,1.0,1.0
mhsc_5109,1.0,2.0,,2.0,3.0,-1.0,-1,1.0,2.0,,2.0,3.0,2.0,2,3.0,3.0,3.0
mhsc_21302,3.0,,1.0,1.0,1.0,,1,3.0,,1.0,2.0,1.0,,2,1.0,1.0,1.0
mhsc_19994,,,1.0,-1.0,-1.0,1.0,1,,,1.0,2.0,2.0,1.0,1,1.0,1.0,2.0
mhsc_22571,,,,1.0,-1.0,3.0,-1,,,,1.0,2.0,3.0,2,1.0,1.0,3.0
mhsc_11513,,,,,3.0,3.0,3,,,,,3.0,3.0,3,3.0,,3.0
mhsc_34669,,,,,-1.0,-1.0,-1,,,,,2.0,2.0,2,1.0,1.0,3.0
