post_id,majority_asian,majority_black,majority_hispanic,majority_man,majority_white,majority_woman,majority_overall,average_asian,average_black,average_hispanic,average_man,average_white,average_woman,average_overall,gpt_cot,gemini_cot,solar_cot
sbic_26556,,,,3.0,3.0,3.0,3.0,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0
sbic_28049,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,3.0,2.0
sbic_43127,3.0,,,3.0,-1.0,,3.0,3.0,,,2.0,2.0,,2.0,3.0,3.0,3.0
sbic_43207,1.0,,,-1.0,-1.0,1.0,1.0,1.0,,,2.0,2.0,1.0,2.0,3.0,3.0,3.0
sbic_26837,,,,,3.0,3.0,3.0,,,,,3.0,3.0,3.0,3.0,3.0,3.0
sbic_26016,,,,-1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,2.0,3.0,2.0
sbic_26076,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,
sbic_26475,,,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,3.0,3.0,2.0
sbic_26250,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,3.0,2.0
sbic_27994,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sbic_28255,,,,3.0,3.0,,3.0,,,,3.0,3.0,,3.0,3.0,3.0,3.0
sbic_26065,,,,-1.0,-1.0,,-1.0,,,,2.0,2.0,,2.0,3.0,3.0,2.0
sbic_25781,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0
sbic_26097,,,2.0,3.0,-1.0,-1.0,-1.0,,,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
sbic_25589,,,,3.0,1.0,1.0,1.0,,,,3.0,2.0,1.0,2.0,3.0,3.0,3.0
sbic_43425,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0
sbic_38568,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0
sbic_27488,,,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,
sbic_25594,,,,-1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,2.0,3.0,2.0
sbic_28409,,,,-1.0,1.0,1.0,1.0,,,,2.0,2.0,1.0,2.0,3.0,3.0,2.0
sbic_25868,2.0,,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,3.0,3.0,3.0
sbic_26629,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,
sbic_27389,,,1.0,1.0,-1.0,2.0,1.0,,,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0
sbic_27186,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,3.0,2.0
sbic_25913,,,3.0,3.0,3.0,,3.0,,,3.0,3.0,3.0,,3.0,3.0,3.0,3.0
sbic_28198,,,,3.0,3.0,3.0,3.0,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0
sbic_27657,,,,-1.0,-1.0,,-1.0,,,,2.0,2.0,,2.0,3.0,3.0,2.0
sbic_27024,,,,3.0,3.0,3.0,3.0,,,,3.0,3.0,3.0,3.0,3.0,3.0,2.0
sbic_25610,,,,3.0,1.0,1.0,1.0,,,,3.0,2.0,1.0,2.0,3.0,3.0,2.0
sbic_27380,,,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,3.0,3.0,2.0
sbic_27545,,,,3.0,3.0,,3.0,,,,3.0,3.0,,3.0,3.0,3.0,2.0
sbic_43426,,1.0,,-1.0,-1.0,1.0,-1.0,,1.0,,2.0,2.0,1.0,2.0,3.0,3.0,3.0
sbic_25944,,,,3.0,1.0,1.0,1.0,,,,3.0,2.0,1.0,2.0,3.0,3.0,2.0
sbic_38646,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
sbic_28387,,,,3.0,3.0,,3.0,,,,3.0,3.0,,3.0,3.0,3.0,2.0
sbic_946,,,,2.0,-1.0,3.0,-1.0,,,,2.0,2.0,3.0,2.0,3.0,3.0,3.0
sbic_427,3.0,,,3.0,,,3.0,3.0,,,3.0,,,3.0,3.0,3.0,3.0
sbic_2285,,,,3.0,3.0,,3.0,,,,3.0,3.0,,3.0,3.0,3.0,3.0
